ts_ms;latencia_ms;exito
1782096155257;224;1
1782096155476;219;1
1782096155813;337;1
1782096156162;347;1
1782096156329;167;1
1782096156330;1;1
1782096156503;172;1
1782096156725;222;1
1782096156903;177;1
1782096157063;160;1
1782096157064;1;1
1782096157225;161;1
1782096157328;103;1
1782096157418;89;1
1782096157530;111;1
1782096157531;0;1
1782096157625;94;1
1782096157726;100;1
1782096157820;94;1
1782096157926;106;1
1782096157928;0;1
1782096158031;103;1
1782096158137;105;1
1782096158255;117;1
1782096158343;88;1
1782096158344;1;1
1782096158434;89;1
1782096158530;96;1
1782096158626;95;1
1782096158735;108;1
1782096158736;1;1
1782096158849;112;1
1782096158984;135;1
1782096159103;119;1
1782096159228;123;1
1782096159229;1;1
1782096159341;112;1
1782096159455;114;1
1782096159577;121;1
1782096159717;140;1
1782096159719;1;1
1782096159848;129;1
1782096159976;127;1
1782096160104;128;1
1782096160226;121;1
1782096160229;2;1
1782096160345;117;1
1782096160469;123;1
1782096160591;123;1
1782096160717;124;1
1782096160719;1;1
1782096160842;123;1
1782096160966;123;1
1782096161111;145;1
1782096161235;123;1
1782096161236;1;1
1782096161373;136;1
1782096161505;132;1
1782096161638;132;1
1782096161789;152;1
1782096161791;2;1
1782096161921;128;1
1782096162054;132;1
1782096162181;128;1
1782096162323;140;1
1782096162325;2;1
1782096162460;135;1
1782096162603;141;1
1782096162748;146;1
1782096162887;138;1
1782096162890;2;1
1782096163029;139;1
1782096163180;150;1
1782096163330;149;1
1782096163483;152;1
1782096163484;1;1
1782096163630;145;1
1782096163779;148;1
1782096163935;156;1
1782096164091;155;1
1782096164091;1;1
1782096164273;181;1
1782096164449;175;1
1782096164607;158;1
1782096164764;157;1
1782096164766;1;1
1782096164919;153;1
1782096165035;115;1
1782096165122;86;1
1782096165223;101;1
1782096165224;0;1
1782096165330;106;1
1782096165432;101;1
1782096165525;93;1
1782096165626;101;1
1782096165627;1;1
1782096165717;88;1
1782096165826;109;1
1782096165920;92;1
1782096165996;77;1
1782096165997;0;1
1782096166074;76;1
1782096166151;77;1
1782096166245;94;1
1782096166325;79;1
1782096166325;0;1
1782096166400;75;1
1782096166489;87;1
1782096166573;84;1
1782096166657;83;1
1782096166657;0;1
1782096166736;78;1
1782096166813;76;1
1782096166893;79;1
1782096166986;92;1
1782096166987;0;1
1782096167065;79;1
1782096167158;92;1
1782096167239;80;1
1782096167323;84;1
1782096167325;0;1
1782096167408;84;1
1782096167504;94;1
1782096167599;94;1
1782096167702;102;1
1782096167703;1;1
1782096167794;90;1
1782096167903;109;1
1782096168006;103;1
1782096168104;98;1
1782096168105;1;1
1782096168199;92;1
1782096168295;95;1
1782096168450;155;1
1782096168585;135;1
1782096168588;2;1
1782096168728;141;1
1782096168875;146;1
1782096169007;132;1
1782096169140;132;1
1782096169141;1;1
1782096169278;136;1
1782096169423;145;1
1782096169566;141;1
1782096169700;134;1
1782096169701;1;1
1782096169838;136;1
