ts_lamport;ts_epoch_ms;nodo;tipo;detalle
1;1782096087708;3;LOCAL;tracker iniciado en puerto 7003
1;1782096087742;3;ELECCION_COORDINADOR;coordinador inicial asumido = 3
2;1782096088018;3;HEARTBEAT;nodo 1 VIVO
3;1782096088123;3;HEARTBEAT;nodo 2 VIVO
4;1782096088269;3;ELECCION_COORDINADOR;ELECTION de nodo 1 -> ya soy coordinador, respondo COORDINATOR
5;1782096088271;3;ELECCION_COORDINADOR;ELECTION de nodo 2 -> ya soy coordinador, respondo COORDINATOR
5;1782096097748;3;METRICAS;coordinador=3 mutexMsgs=0 replicaMsgs=0 eleccionMsgs=2 latidos=38
5;1782096107760;3;METRICAS;coordinador=3 mutexMsgs=0 replicaMsgs=0 eleccionMsgs=2 latidos=80
5;1782096117761;3;METRICAS;coordinador=3 mutexMsgs=0 replicaMsgs=0 eleccionMsgs=2 latidos=120
5;1782096127760;3;METRICAS;coordinador=3 mutexMsgs=0 replicaMsgs=0 eleccionMsgs=2 latidos=160
5;1782096137755;3;METRICAS;coordinador=3 mutexMsgs=0 replicaMsgs=0 eleccionMsgs=2 latidos=198
5;1782096147754;3;METRICAS;coordinador=3 mutexMsgs=0 replicaMsgs=0 eleccionMsgs=2 latidos=238
15;1782096155276;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
23;1782096155291;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
31;1782096155296;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
39;1782096155301;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
47;1782096155308;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
55;1782096155312;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
63;1782096155317;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
71;1782096155320;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
79;1782096155323;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
82;1782096155329;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
81;1782096155329;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
