ts_lamport;ts_epoch_ms;nodo;tipo;detalle
1;1782096072574;2;LOCAL;tracker iniciado en puerto 7002
1;1782096072609;2;ELECCION_COORDINADOR;coordinador inicial asumido = 3
2;1782096073028;2;HEARTBEAT;nodo 1 VIVO
3;1782096073131;2;ELECCION_INICIO;ELECTION recibido de nodo 1 -> respondo OK
4;1782096073134;2;ELECCION_INICIO;inicio elección, superiores=[3]
5;1782096073643;2;ELECCION_COORDINADOR;me proclamo COORDINADOR (id 2)
6;1782096074620;2;FALLO_CAIDA;nodo 3 CAIDO (sin latido por 2004 ms)
6;1782096082619;2;METRICAS;coordinador=2 mutexMsgs=0 replicaMsgs=0 eleccionMsgs=4 latidos=38
7;1782096088266;2;ELECCION_COORDINADOR;ELECTION de nodo 1 -> ya soy coordinador, respondo COORDINATOR
8;1782096088267;2;HEARTBEAT;nodo 3 VIVO (reintegrado)
8;1782096088268;2;ELECCION_INICIO;reapareció nodo 3 (> coordinador), inicio elección
9;1782096088268;2;ELECCION_INICIO;inicio elección, superiores=[3]
10;1782096088273;2;ELECCION_COORDINADOR;COORDINATOR de nodo 3 -> nuevo coordinador
10;1782096092616;2;METRICAS;coordinador=3 mutexMsgs=0 replicaMsgs=0 eleccionMsgs=6 latidos=78
10;1782096102623;2;METRICAS;coordinador=3 mutexMsgs=0 replicaMsgs=0 eleccionMsgs=6 latidos=118
10;1782096112619;2;METRICAS;coordinador=3 mutexMsgs=0 replicaMsgs=0 eleccionMsgs=6 latidos=158
10;1782096122617;2;METRICAS;coordinador=3 mutexMsgs=0 replicaMsgs=0 eleccionMsgs=6 latidos=198
10;1782096132614;2;METRICAS;coordinador=3 mutexMsgs=0 replicaMsgs=0 eleccionMsgs=6 latidos=238
10;1782096142614;2;METRICAS;coordinador=3 mutexMsgs=0 replicaMsgs=0 eleccionMsgs=6 latidos=278
10;1782096152622;2;METRICAS;coordinador=3 mutexMsgs=0 replicaMsgs=0 eleccionMsgs=6 latidos=318
15;1782096155282;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
23;1782096155291;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
31;1782096155296;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
39;1782096155301;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
47;1782096155308;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
55;1782096155312;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
63;1782096155317;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
71;1782096155320;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
79;1782096155323;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
81;1782096155329;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
82;1782096155329;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
87;1782096155329;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
89;1782096155332;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
90;1782096155332;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
92;1782096155334;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
91;1782096155334;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
95;1782096155334;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
98;1782096155337;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
97;1782096155337;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
99;1782096155339;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
100;1782096155339;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
103;1782096155339;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
105;1782096155342;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
111;1782096155343;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
109;1782096155343;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
119;1782096155346;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
117;1782096155346;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
127;1782096155350;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
128;1782096155350;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
136;1782096155353;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
134;1782096155353;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
144;1782096155355;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
145;1782096155357;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
151;1782096155360;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
153;1782096155360;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
161;1782096155363;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
162;1782096155363;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
170;1782096155368;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
171;1782096155368;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
179;1782096155370;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
180;1782096155370;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
188;1782096155375;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
190;1782096155376;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
194;1782096155381;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
196;1782096155383;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
